"Id","Context","Source","es","prs","am","ar","az","bn","my","zh-CN","kw","fr","ha","hi","id","quc","km","rw","lo","mam","ne-NP","pbu","pt-PT","fuc","ru","sw","tl","ta","te","th","tr","vi"
"stats.queryDescription.collection","","Books currently in the collection:","Libros actualmente en la colección:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Livres actuellement dans la collection :","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:","Books currently in the collection:"
"stats.queryDescription.branding","","Books with branding:","Libros con marcación:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Livres avec marque:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:","Books with branding:"
"stats.queryDescription.country","","From users inside of country:","De usuarios dentro del país:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","Provenant d'utilisateurs à l'intérieur du pays :","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:","From users inside of country:"
"stats.queryDescription.dateRange","","Date range:","Rango de fechas:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Fourchette de dates:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:","Date range:"
"stats.options.By Month","","By Month","Mensual","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month","By Month"
"stats.options.By Week","","By Week","Semanal","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week","By Week"
"rangePicker.allTime","","All Time","Todas la fechas","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time","All Time"
"rangePicker.today","","Today","Hoy día","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today","Today"
"rangePicker.to","","To","Hasta","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To","To"
"rangePicker.from","","Include Events From","Incluir los eventos desde","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From","Include Events From"
"rangePicker.custom","","Custom","Peronalizado","Custom","Custom","Custom","Fərdiləşdirilən","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom","Custom"
